puseli, ᡦᡠᠰᡝᠯᡳ
cai puseli, ᠴᠠᡳ ᡦᡠᠰᡝᠯᡳ
be liyan tacihiyan, ᠪᡝ ᠯᡳᠶᠠᠨ ᡨ᠋ᠠᠴᡳᡥᡳᠶᠠᠨ
lamai tacihiyan, ᠯᠠᠮᠠᡳ ᡨ᠋ᠠᠴᡳᡥᡳᠶᠠᠨ
sun, ᠰᡠᠨ
Sun, ᠰᡠᠨ
lamun, ᠯᠠᠮᡠᠨ
f᠋useri, ᡶ᠋ᡠᠰᡝᡵᡳ
jiha, ᠵᡳᡥᠠ
niohe, ᠨᡳᠣᡥᡝ
tiyan jin, ᡨ᠋ᡳᠶᠠᠨ ᠵᡳᠨ
fulahūn, ᡶᡠᠯᠠᡥᡡᠨ
buda, ᠪᡠᡩ᠋ᠠ
giyai, ᡤᡳᠶᠠᡳ
niyaman, ᠨᡳᠶᠠᠮᠠᠨ
ceng d᠋u᠋, ᠴᡝᠩ ᡩ᠋ᡠ᠋
uyan bud᠋a, ᡠᠶᠠᠨ ᠪᡠᡩ᠋ᠠ
uyan, ᡠᠶᠠᠨ
sabu, ᠰᠠᠪᡠ
hasi, ᡥᠠᠰᡳ
larhūn, ᠯᠠᡵᡥᡡᠨ
gungju, ᡤᡠᠩᠵᡠ
hūšaju, ᡥᡡᡧᠠᠵᡠ
fulgiyan, ᡶᡠᠯᡤᡳᠶᠠᠨ
niyehe, ᠨᡳᠶᡝᡥᡝ
lio kio, ᠯᡳᠣ ᡴᡳᠣ
liokio, ᠯᡳᠣᡴᡳᠣ
lio kiyeo, ᠯᡳᠣ ᡴᡳᠶᡝᠣ
furgisu, ᡶ᠋ᡠᡵᡤᡳᠰᡠ
hūwang ho bira, ᡥᡡᠸᠠᠩ ᡥᠣ ᠪᡳᡵᠠ
suwanda, ᠰᡠᠸᠠᠨ᠋ᡩ᠋ᠠ
golmin ula, ᡤᠣᠯᠮᡳᠨ ᡠᠯᠠ
